rank,name,seed_label,forcing_family,symmetry_fold,tau_imag,delta,s1,s2,epsilon,epsilon_bonnet,alpha_0,alpha_1,alpha_2,residual_norm,ratio,verified_ratio,validation_score,b_scalar,c_scalar,closure_rotation_angle,closure_k_fold,closure_k_theta_2pi,closure_rationality_error,closure_axial_proj,f_plus_closure_max,f_plus_closure_mean,f_minus_closure_max,f_minus_closure_mean,euler_plus_ok,euler_minus_ok,iso_E_max_rel,iso_interior_F_scaled,iso_interior_G_rel,iso_interior_metric_mean,H_plus_mean,H_minus_mean,H_interior_max_diff,H_interior_mean_diff,procrustes_disparity,direct_mean_distance,direct_max_distance,scale_ratio,is_non_congruent,n_vertices,n_triangles,time_seconds
21,rank021_fold4_paper_4fold_bwd_5__smooth_h4_p019_eps1e-04,paper_4fold_bwd_5,smooth_low_freq,4,0.30930578925,1.6521370711936876,-3.13060628,0.9002801614220941,0.0001,0.3,-0.002676152278886951,-0.05287865006619051,0.07048363001220498,1.8296917841923081e-06,0.9999996187723004,0.9999868638606509,4.2274464058456815e-10,-1.7249410184383418e-06,-1.1726875212905719e-07,1.5707756925954588,4,0.9999868638606509,1.3136139349056997e-05,0.00022114621494631614,5.664454367134521,2.956009861632856,5.640706981122395,2.950510946329548,True,True,3.1047630428675916e-14,1.4845583022446762,2.0050408749319986,1.3418728073505308,0.6943378482882795,0.6896471421259313,3.1930734529189935,0.26834937881024323,0.4741422321460946,2.136800070020726,8.503804052647128,1.0002466041619313,True,6400,12800,508.47
22,rank022_fold3_paper_3fold_bwd_17__phase_h7_p041_eps1e-03,paper_3fold_bwd_17,phase_shifted,3,0.27330578925,2.3057107138256083,-3.601381552,1.3709442290133442,0.001,0.3,-0.008034776216291502,-0.02880729296701252,0.009088313390846666,1.3985706923149748e-10,0.9999999999926347,0.999864869993143,4.408647544441343e-10,1.3958108280309744e-10,-1.8041124150158794e-16,2.094112086768648,3,0.999864869993143,0.00013513000685705379,0.00034849792081770303,8.612811511240217,2.728580598953698,8.594761035945405,2.7245019444009984,True,True,4.778888744122183e-14,2.067495032575822,3.0577542299688116,1.7482541025576157,0.9858763389673325,0.9852677139648075,418.27863873645697,1.028202447208458,0.5061016994663979,1.6824949797298308,8.678253975440532,0.9999960665915987,True,6400,12800,426.57
23,rank023_fold4_paper_4fold_bwd_11__phase_h7_p041_eps1e-04,paper_4fold_bwd_11,phase_shifted,4,0.29130578925,1.7618367055891104,-3.13060628,1.31286617056707,0.0001,0.3,0.0020071246935229855,-0.03966266399609972,0.08125020275723832,1.65767935853006e-10,0.9999999999975855,0.9999644188486851,4.954361106064675e-10,-1.6570693081585652e-10,7.520026268359459e-16,1.570740436053108,4,0.9999644188486851,3.5581151314856285e-05,0.00011396887976761194,4.838579339455698,2.3142131929968954,4.829153850829117,2.311914243854306,True,True,2.1284237953802503e-14,1.7734455503438422,2.9191755353578177,1.279588221393779,0.8430143462475113,0.833788386183325,7.441054758462362,0.45783365834565687,0.5291515918704521,1.8430405996399033,6.722477203277546,1.0003327671018687,True,6400,12800,360.05
24,rank024_fold3_paper_3fold_bwd_13__phase_h7_p041_eps1e-03,paper_3fold_bwd_13,phase_shifted,3,0.28530578925,2.1621064653644217,-3.601381552,1.232475062839761,0.001,0.3,-0.012146882285903453,-0.08812919668545595,0.12483600408446989,3.5614612906431835e-10,1.0000000001383482,0.9999728388958894,5.113196378930127e-10,-2.0569991543428756e-10,4.917941054394248e-16,2.0943382163097706,3,0.9999728388958894,2.7161104110606793e-05,-5.568944257350328e-06,7.878699258707369,2.8763985441582904,7.839364464408485,2.8667071470427317,True,True,1.9932597234030727e-14,2.0042960785474753,3.003394625598273,1.5147834140867593,0.866158153600455,0.8434666732254107,96.68745519561541,0.6598864347700475,0.523322344618953,1.8029014591676584,8.1013997060291,1.0002828515089623,True,6400,12800,385.51
25,rank025_fold4_paper_4fold_bwd_6__anti_h9_p033_eps1e-04,paper_4fold_bwd_6,anti_reflection,4,0.30630578925,1.6681155066416105,-3.13060628,0.9762101266467138,0.0001,0.3,-0.007604973908907783,-0.07210866541817629,0.08985230100361338,5.6682173179624777e-11,1.000000000033687,0.999996042717965,5.207225986459414e-10,2.0507883585763054e-11,-7.849623728795052e-17,1.570790110710812,4,0.999996042717965,3.957282034949827e-06,8.357501621267249e-05,5.622581307092161,2.7906571809613565,5.585497115964959,2.7830958646712984,True,True,1.9462431177478584e-14,1.5119927117841112,1.7706063466757516,1.2624265619381951,0.7100016603936135,0.7035205828911714,3.6333813848995846,0.2900111801802724,0.5100295563652472,2.0736852541141486,8.036761609883914,1.0003484337137845,True,6400,12800,236.54
26,rank026_fold3_paper_3fold_bwd_17__phase_h7_p041_eps8e-04,paper_3fold_bwd_17,phase_shifted,3,0.27330578925,2.3057107138256083,-3.601381552,1.3709442290133442,0.00075,0.3,-0.00801208450978888,-0.02879943828803115,0.009174970403126204,8.135413157985974e-11,1.0000000000107296,0.9998649121737646,5.422863934309153e-10,-7.596519940866742e-11,-1.62231339473351e-13,2.094112175111535,3,0.9998649121737646,0.00013508782623539162,0.0003484208360041152,8.612800989238307,2.728577037329125,8.594777299700972,2.724503735164501,True,True,3.3348591766606854e-14,2.0674915818163826,3.055949010502946,1.7482581505580053,0.9857845710967885,0.9853270741545288,419.4680682528088,1.0281486852962403,0.5061031422431638,1.682495665384169,8.678272944179811,0.9999963328090485,True,6400,12800,597.1
27,rank027_fold3_paper_3fold__smooth_h4_p019_eps3e-04,paper_3fold,smooth_low_freq,3,0.3205128205,1.897366596,-3.601381552,0.5965202011,0.00025,0.3,0.020150768897466875,-0.06346650941535469,0.22152009253814814,2.520437172967548e-11,1.0000000000055436,0.9999985405447711,5.468474020057273e-10,2.5159874184055298e-11,-1.5161483180037294e-15,2.0943920457173117,3,0.9999985405447711,1.4594552288915708e-06,0.0008480053084580913,11.146693615795122,5.019615098043298,11.212145478571408,5.026969391751528,True,True,7.722880219339088e-14,1.3150774296744028,1.2745043271935523,1.3897676338469331,0.5575591701714183,0.5493453494992631,2.0619788645710204,0.14340374048683907,0.3893747641520066,2.5862153985127834,12.773873702520797,1.0005023347507125,True,6400,12800,222.09
28,rank028_fold4_paper_4fold_bwd_10__phase_h7_p041_eps5e-04,paper_4fold_bwd_10,phase_shifted,4,0.29430578925,1.7415740376906228,-3.13060628,1.2499659204910494,0.0005,0.3,-0.037713912120074355,-0.08048814076544919,-0.039495351194658156,2.535145462026826e-10,1.0000000000033533,0.9999931051732187,5.483344222991685e-10,-2.53472815653355e-10,-6.653965572978038e-15,1.5707854964263146,4,0.9999931051732187,6.894826781289609e-06,5.545162617542898e-05,4.996177227315772,2.3821390266981672,4.937800853948187,2.370808863895011,True,True,1.797227761607701e-14,1.7618723508003293,2.864553058079791,1.2854333487120289,0.8070222071760951,0.8094372509768928,7.736422452418264,0.44528833837498244,0.5287678750188911,1.879735045659593,6.891759328974637,0.9999520878946845,True,6400,12800,287.13
29,rank029_fold4_paper_4fold_bwd_11__phase_h7_p041_eps3e-04,paper_4fold_bwd_11,phase_shifted,4,0.29130578925,1.7618367055891104,-3.13060628,1.31286617056707,0.00025,0.3,0.001997654240544979,-0.039664394327689236,0.08122068902252151,2.7373712479117514e-10,1.0000000001111793,0.9999644429610774,5.512584307960082e-10,2.1137239528123963e-10,-1.734723475976807e-16,1.5707404739287654,4,0.9999644429610774,3.555703892255124e-05,0.00011386963444409703,4.838581151206015,2.31421385190023,4.829150400798909,2.311913984179605,True,True,1.6860877014534147e-14,1.7734433780534509,2.9190734458433347,1.2795644439987455,0.8430094811884817,0.8337879037242066,7.437797470679828,0.45783635172274967,0.5291523619973731,1.8430403463275606,6.722477203277546,1.0003326081541577,True,6400,12800,627.24
30,rank030_fold3_paper_3fold_bwd_18__sym_h12_p013_eps8e-04,paper_3fold_bwd_18,symmetry_aware,3,0.27051282050000003,2.346598203968648,-3.601381552,1.3958837361792573,0.00075,0.3,-0.008224782040103677,-0.026249517623444057,0.003944813688512255,9.779180940229139e-11,0.999999999997342,0.9998593455693956,5.761692968814398e-10,9.775689285840272e-11,2.562186574017744e-15,2.0941005164426074,3,0.9998593455693956,0.0001406544306044033,0.00035041904518778866,8.821481021399794,2.7180847865922915,8.804301127809683,2.714072670707215,True,True,4.5348304069509494e-14,2.0812245873619446,3.3857013504286897,1.5004904029326025,0.956559144020023,0.9591436715722782,178.87739402689223,0.9504987974207796,0.4983320804831275,1.658947790851387,8.90074359205504,0.9999839210076187,True,6400,12800,271.73
